iter	Passed	Remaining
1410	33706	2126
1411	33737	2102
1412	33765	2079
1413	33796	2055
1414	33827	2032
1415	33856	2008
1416	33886	1984
1417	33915	1961
1418	33940	1937
1419	33966	1913
1420	33994	1889
1421	34031	1866
1422	34060	1843
1423	34086	1819
1424	34114	1795
1425	34144	1771
1426	34176	1748
1427	34210	1724
1428	34245	1701
1429	34274	1677
1430	34299	1653
1431	34323	1629
1432	34345	1605
1433	34369	1581
1434	34391	1557
1435	34413	1533
1436	34442	1509
1437	34469	1486
1438	34494	1462
1439	34523	1438
1440	34552	1414
1441	34576	1390
1442	34598	1366
1443	34619	1342
1444	34645	1318
1445	34668	1294
1446	34691	1270
1447	34715	1246
1448	34739	1222
1449	34762	1198
1450	34784	1174
1451	34808	1150
1452	34833	1126
1453	34858	1102
1454	34880	1078
1455	34903	1054
1456	34928	1030
1457	34953	1006
1458	34980	983
1459	35005	959
1460	35029	935
1461	35050	911
1462	35075	887
1463	35105	863
1464	35132	839
1465	35158	815
1466	35182	791
1467	35208	767
1468	35236	743
1469	35259	719
1470	35281	695
1471	35308	671
1472	35335	647
1473	35364	623
1474	35390	599
1475	35415	575
1476	35442	551
1477	35469	527
1478	35494	503
1479	35516	479
1480	35539	455
1481	35564	431
1482	35589	407
1483	35618	384
1484	35644	360
1485	35667	336
1486	35690	312
1487	35715	288
1488	35738	264
1489	35762	240
1490	35788	216
1491	35811	192
1492	35836	168
1493	35859	144
1494	35883	120
1495	35906	96
1496	35930	72
1497	35958	48
1498	35989	24
1499	36018	0
